seed_id,query
1,how postmodern feminist thought reshapes social work theory and practice
3,reframing forced therapy endings as opportunities for client growth
4,heuristic research paradigm as alternative to positivism for practitioners
9,effects of land reform legislation on agricultural land use and urbanization
10,adolescents perceptions of parenting styles linked to frustration and aggression
11,principles of care for homeless people with co-occurring mental illness and addiction
14,organizational arrangements for case management in community care pilot projects
19,reliability of inspectors judgments assessing care quality in residential homes for elderly
21,using microcomputer software to manage and code qualitative research data
22,single custodial fathers overview and implications for social work practice
23,colorism and skin tone bias among Black Americans practice implications
27,community group home living experiment training adults with intellectual disability
29,controlled evaluation of intensive services helping teenage welfare mothers become self-sufficient
34,employed women education income and attitudes toward the dowry practice
36,comparing full-time and part-time employment burdens for working women across countries
38,citation analysis of competence of social work journal editorial board members
40,rapid urbanization slum growth and poverty in developing countries
41,attitude change of college students after living with intellectually disabled adults
44,comparing mental health of workers in public versus private sector industries
45,integrating cognitive therapy with Vedantic philosophy in clinical practice
48,social workers attitudes toward adoption birth mothers and open adoption
49,community participation approach to slum improvement and urban development projects
51,burnout job stress and satisfaction among intensive family preservation workers
53,coping strategies families use when a member develops mental illness
54,using the cognitive interview technique with child abuse victims
55,cultural differences in family intimacy and child sexual abuse prevention programs
68,provisions and critique of the 1988 welfare reform jobs training legislation
72,efforts to reduce homeless shelter capacity and length of stay
73,public welfare agencies increasingly serving middle-class clients
74,universal learning objectives for evaluating students micro practice field performance
75,self psychology treatment of borderline personality disorder and selfobject transference
76,self-nurturing cognitive behavioral treatment approach for borderline clients
78,comparing employment expectations for single mothers on welfare across countries
79,permanency planning reform in child welfare achievements and unintended effects
83,scholarly publication productivity of social work doctoral program graduates
84,attending to clients physical environment in assessment and practice
85,graduate programs using for-profit agencies for field placements
88,HIV prevention among Black gay men and injection drug users
89,employment role strain and life satisfaction among poor single Black mothers
91,program autonomy and visibility in undergraduate social work accreditation
92,citation analysis norms measuring scholarly reputation of social work faculty
94,guidelines for giving corrective performance feedback to employees
96,family therapy model for managing psychotic symptoms in mentally ill relatives
99,how service integration and resource levels shape case management models
101,strategic planning process for schools of social work facing resource pressures
104,burnout among hospital social workers serving AIDS patients
105,self narratives and the search for meaning in psychoanalytic practice
107,small women's social service agency organizational change and problem solving
108,teaching marriage counseling and couples practice in graduate social work programs
109,benefits agencies award to social work field instructors national survey
110,math anxiety among social work students compared to other majors
111,applying attachment theory to clinical practice with adults
112,why MSW caseworkers leave public child welfare and retention factors
113,personal value orientations of clinical social work practitioners in private practice
120,insurance reimbursement restrictions creating ethical dilemmas for clinical social workers
121,object relations family therapy as a model for social work practice
125,comparative model for teaching cross-national social welfare policy analysis
128,social work's dual role as academic discipline and profession in universities
132,review of informal caregiving within Black and minority ethnic communities
133,group context and needle sharing behavior among injecting drug users
140,assessing parenting to terminate parental rights in adoption decisions
146,quality of life comparison across residential settings for chronically mentally ill
147,evaluating quality of service and quality of life in human services
151,collaboration between general practitioners and social workers versus psychiatric nurses
155,evaluating intensive family preservation services matching services to family needs
164,economic and emotional effects of involuntary retirement caused by unemployment
165,diagnostic tool identifying sexist bias throughout the research process
166,feminist theory of writing instruction challenging male dominance in the classroom
169,family patterns and disorders among middle-class school dropout adolescents
172,evaluative model reviewing disrupted family reunification and placement reentry
173,legal responsibilities of social workers reporting child abuse and neglect
174,observing gender differences in parental proximity and childcare in rural villages
176,critique of full employment policy and alternative solutions to unemployment
177,sexist bias in population control research targeting female fertility
178,methodology and theory gaps for understanding women's issues in social science
179,detecting sexism and androcentricity in literary journals and criticism
180,gender bias and inaccuracy in head of household data collection
187,cluster analysis of household types among child and family mental health clients
191,feminist critique of gender bias in the child rights convention
196,developing a feminist psychoanalytic paradigm using mythological archetypes
200,state variation implementing federal policy to prevent child family separation
201,gender bias in judicial decisions and the legal system
202,group intervention for grieving inner-city children who lost a caregiver
203,HIV risk behavior among drug users in an urban soup kitchen
204,multicomponent school-based programs preventing HIV and STDs among teenagers
207,comparing peer and professional counseling processes for caregivers of frail elderly
212,feminist epistemology reflexivity and situated knowledge in social research
214,formal and informal support networks and mental health of Black teenage mothers
215,psychoanalytic perspective on gender differences prejudice and sexuality
220,typology of caseworker approaches and parent relationships in child welfare
221,assessing and addressing resistance in couple therapy
227,critique of rigid orthodoxy and the empathy debate within self psychology
228,why child abuse concern faded and was rediscovered in the twentieth century
229,history of psychiatric social workers establishing private psychotherapy practice
231,radical pedagogy principles for teaching social work education
234,psychological and psychosocial approaches to treating depression in older adults
236,psychoanalytic psychotherapy with adult survivors of father-daughter incest
238,anniversary reactions arising from incomplete mourning of past trauma
239,counseling issues linking maternal drug use to sudden infant death
243,role of metaphor in psychotherapy and the change process
245,qualitative interviews on paying relatives to care for frail elderly kin
246,psychoanalytic treatment of women coping with infertility and maternal identity
247,how competent practitioners know in practice substantive versus technical rationality
249,durability of 1960s court rulings ending morality and residency tests in welfare
250,citation impact of core social work journals on the profession's knowledge
252,female therapist treating male client transference dynamics around gender identity
253,review of diagnosis causes and treatment models for borderline personality disorder
254,applying attachment theory in clinical social work practice
263,social work practice with homeless families and housing services
266,burden and coping among children of mothers with schizophrenia
267,rapid growth in foster care caseloads and rise of kinship placements
268,critical review of strategies to reduce poverty and guaranteed income
291,preparing social workers for stress and hopelessness in direct practice teaching
292,improving delivery of effective mental health services to children
300,factors predicting caregiver attendance in support groups for frail elderly
308,employee assistance program effect on worker stress and productivity
317,strengths perspective alternative to pathology models for community integration of mentally ill
320,meaning of grandmotherhood among middle-class African American grandmothers
324,social workers teaching psychosocial principles to primary care medical residents
325,how corporations make funding decisions for human service agencies
328,charitable giving of money and service across religious groups in India
330,tension between scientific objective data and practitioners subjective experience
332,predictors of passing an oral licensing examination for clinical social workers
333,family policy reflections on divorce and single parent household needs
335,family placement care for adults with learning disabilities activity levels
336,developing a checklist to assess cultural competence in social service agencies
341,child labor exploitation and modes of recruitment in India
342,aging population demands on society for autonomy of older individuals
344,institutional partnership between a social work school and agency for practice research
348,school-based parenting skills program for teenage mothers evaluation
349,effect of professional intervention on parents perceptions of intellectually disabled children
351,gaps in environmental conservation laws and roles for social workers
354,improving women's status to strengthen family planning policy in Kenya
355,role of approved social workers under mental health law historical origins
358,comparing family environment in dual-career versus single-career households
360,single-case design testing respite care to reduce caregiver burden
364,profile of psychiatric patients seeking cure at temples in India
366,downward caste mobility of upper castes converting to lower caste identity
367,meditation and neuro-linguistic techniques for couples in marital conflict
368,conjoint marital therapy for parents to reduce children's misbehavior
370,developing an instrument to measure restrictiveness of children's living placements
375,interrater reliability of a rating checklist for social work process recordings
379,is practicing psychoanalysis a legitimate function of clinical social work
380,publication productivity of social work doctoral graduates and faculty mentoring
381,psychoanalytic inpatient treatment of psychotic adolescents
382,cost-benefit and work performance impact of a workplace assistance program in banking
383,model for delivering social work curriculum through distance education
384,working mothers balancing family dynamics and workplace productivity
385,institutional supports and retention of new social work field instructors
386,infant mental health as emerging practice field for social workers early intervention
387,narrative approaches to brief therapy after adverse life events strengths focus
388,psychoanalytic psychotherapy of a traumatized child and narrative development
389,epidemiology of depression prevalence and risk factors for clinicians
390,changing economic effects of teenage childbearing on women's well-being
391,adult sons revising internal images of their fathers through attachment
393,continuing education for nondegreed workers licensed under grandparenting provisions
395,ecological perspective for social work role in home care services
396,tension between ethical and clinical responses in psychodynamic practice
398,racial differences in family coping with Alzheimer's disease
399,historical evolution of psychoanalytically oriented clinical social work
401,client and practitioner reactions to ending individual therapy
402,teaching assessment skills to social work students in the classroom
403,barriers to employees using an assistance program in a government department
405,sexual needs and expression of gay men living with HIV
410,survey of specialist therapeutic foster family care programs characteristics
414,resolving treatment impasses through understanding transference and countertransference
415,graduate class on men's issues and gender dialogue in social work education
417,critique of psychoanalytic theories of female homosexuality and lesbian development
421,ethnographic study of community-oriented social services in a rural district
424,case management challenges for the profession and fragmented service systems
425,clinical assessment of client risk for violence toward others
430,identifying and responding to the impaired social work professional
431,teaching cross-cultural sensitivity using a cultural wounding metaphor
432,training field instructors to develop critical reflection skills
434,social workers overemphasis on personal versus environmental client problems
435,self psychology treatment of selfobject transferences and addiction to sensation states
436,self psychology reanalysis to overcome a stalemated psychoanalytic treatment
437,teaching interviewing skills through a research project in social work education
438,countertransference as reciprocal growth for women therapists treating women clients
441,incorporating biological knowledge into the person-in-environment perspective
444,clinical practitioners attitudes toward addressing religion and spirituality in practice
445,bioethical decision making knowledge for neonatal hospital social workers
447,review of youth gang research and social work reinvolvement
449,concepts and types of redundancy in organizational systems
450,racial segregation in a 1940s settlement house biracial recreation program
460,housing and employment needs of long-term mental health service users
466,assertiveness role clarity and job satisfaction of social workers in mental health teams
470,outpatient treatment strategies for dually diagnosed mentally ill substance abusers
473,factors predicting successful discharge from an inpatient psychiatric crisis unit
474,training program to recruit and retain minority administrators in aging services
476,computerized information systems for quality assurance in hospital social work departments
478,evaluating parent education groups effects on maternal competence and isolation
480,relationship between homebound elderly clients and their home care workers
482,occupational social worker addressing job insecurity in a declining organization
484,planning and evaluating intergroup conflict management workshops for youth
485,patterns of emergency department use by elderly patients and social supports
488,prevalence and correlates of dating violence among high school students
489,predicting which elderly patients need social work follow-up after readmission
491,therapeutic case management to improve health care access for vulnerable children
495,women's experiences coping with failed in vitro fertilization
498,assessing dementia patients' driving safety and cognitive impairment in outpatient medical social work
499,staff development model for teaching gerontological social work in acute hospital settings
502,intervention strengthening child welfare teams to reduce turnover through supervision and cohesion
503,gender differences in resettled refugees' employment distress and discrimination mixed methods
505,using situational analysis to map power in feminist participatory action research collaborations
506,school social workers' knowledge and responses to adolescent sexting qualitative study
507,model graduate course syllabus for teaching intellectual and developmental disabilities in social work
508,impact of inquiry-based learning on undergraduate students' skills through self and peer assessment
510,simulation workshop teaching cognitive behavioral therapy skills to master's social work students
511,role of volunteer guardians supporting unaccompanied migrant minors in reception systems
512,variations of role-play and simulation methods in competency-based social work education
513,social workers using stages of change model with involuntary substance use treatment clients
514,longitudinal poverty persistence and recurrence among large families with several children
515,challenges extending social protection to informal workers amid climate and pandemic risks
516,why regulators promote service user participation in social care oversight processes
517,addressing AI-generated text and plagiarism in social work teaching and publishing
519,social work students' attitudes and bias toward poverty and homelessness survey
520,job demands control and coworker support moderating depression among social workers
521,multidimensional vulnerability and social exclusion among migrant children compared to non-migrant households
522,immigrant families' inherited cultural beliefs and acculturation shaping social integration
523,how age and political ideology shape public satisfaction with social care
524,community volunteers supporting foster children living with HIV alongside social workers
525,simulating universal basic income effects on labor supply using discrete choice model
526,capabilities approach examining factors constraining and enabling social worker wellbeing
527,challenges and resilience of low-income caregivers transitioning to kinship foster care
528,social workers mobilising communities as a strategy to prevent family violence
530,classroom activities teaching critical and ethical perspectives on mandated reporting
531,city walking as pedagogy for critical feminist macro social work teaching
532,social workers' role in traditional male circumcision cultural practice ecological perspective
534,living alone increasing loneliness risk among middle-aged and older adults
535,parental alienation double standards favoring violent fathers over abused mothers in custody
536,clinicians' barriers to using trauma-informed approaches with suicidal clients
537,systematic review of knowledge attitudes practices regarding HIV pre-exposure prophylaxis
538,how parental problems and ethnicity interact in children entering out-of-home care
539,qualitative study of conditional cash transfers raising rural school attendance not achievement
540,mobile app for practicing motivational interviewing skills among child welfare workers
541,adapting doula support for perinatal individuals with substance use disorders
542,phenomenological study of disabled refugee women's wartime displacement and intersectional experiences
543,cultural competence in child protection parenting assessments with Deaf sign language parents
544,content analysis of introductory social work textbooks and their changing justice narratives
545,interview reflecting on critical theoretical perspectives across a gerontological social work career
546,cross-national comparison of service user participation in social work across five countries
547,democratic participation structures and wellbeing of young people in residential care
548,online data platform improving mental health assessment completion at a sexual assault centre
549,older people's ethical experiences using medication-dispensing robots in home care
550,evaluation of a brief virtual suicide prevention training for school staff
551,covert participant observation study of human social behavior in nightlife settings
552,workplace friendships supporting retention and wellbeing of child and family social workers
553,undergraduate reflections on anxious and angry interpersonal communication styles in helping professions
554,institutional ethnography of social care responses to extra-familial exploitation and harm
555,social work students' views on the ethics of collaborating with police
556,meaning in life and abuse among transgender women implications for social work
557,need for a strengths-based assessment tool for parents surviving intimate partner violence
558,workplace violence against social workers linked to burnout job satisfaction and anxiety
559,family socioeconomic status and adolescent prosocial behavior mediated by self-esteem and expectations
560,client violence predicting turnover intention through fear and affective commitment among social workers
561,conceptualizing rural areas as a distinct focus for social work research
562,social work as emplacement practice at municipal service centres in marginalised neighbourhoods
565,proposal for an international observatory mapping and indexing social work worldwide
566,mental health beliefs and help-seeking barriers among resettled refugees mixed methods
567,training mental health responders in firearm lethal means safety for suicide prevention
568,adolescents' gendered place-making within territorially stigmatised neighbourhoods
569,scoping review of elder abuse among culturally diverse migrant older adults
570,digital hoarding associations with personality traits and mental health among students
571,homeless service providers' use of electronic personal safety devices and feelings of safety
572,organizational implementation of solution-focused brief therapy in a youth agency longitudinally
573,interdisciplinary experiential court placements for mental health diversion using experiential learning theory
574,challenges and support needs of psychosocial support workers after major earthquakes
575,systematic review of psychosocial interventions preventing youth gang membership and crime
577,social media as a social determinant of health perspectives of mental health professionals
578,poem imagining a dialogue among nature elements about change and identity
579,scoping review of technology interventions under the harness technology grand challenge
580,war stress and uncertainty mediating social support and caregiver treatment burden
581,policies and programs to reduce sodium intake among low-income children
584,sense of purpose mediating adverse childhood experiences and resilience in college students
585,factors influencing prostate cancer screening uptake among Indigenous men
586,socio-spatial citizenship and freedom of movement for youth in residential care
587,meta-analysis comparing self-compassion levels in qualified and student social workers
588,qualitative systematic review of migrant families' experiences of immigration detention
589,developing an instrument assessing anti-racism diversity equity inclusion in social work programs
590,early trauma among young adults with out-of-home care history through ecological systems lens
591,ethnic minority social workers acting as policy actors within welfare organizations
592,fostering vicarious resilience through clinical supervision for hospital social workers
593,immersive transnational study abroad enhancing community work education for social work students
594,public versus nonprofit sector support and turnover intentions among social workers
596,feasibility of culturally adapted telephone CBT for Latino cancer survivors with depression
597,Black family caregivers' reluctance to use formal dementia support services
599,intersections of women's incarceration and reproductive injustice feminist analysis
600,conditions for service user self-organisation and representation in child and youth welfare
601,factors influencing social work students' antidepressant referral decisions factorial survey
603,professional development benefits for practitioners teaching social work students in university classrooms
606,improving mental and physical health services for incarcerated women
607,students revisiting prior curriculum through reflections on an international study tour
610,training social work students in digital citizenship for equitable telehealth access
612,digital inclusion as a social determinant of health for youth in foster care
615,former service users as minority welfare staff adopting critical practice
616,analyzing social media posts to understand barriers to reporting sexual assault
618,systematic review of geographic information systems use for closing the health gap challenge
620,narrative review of older care leavers' experiences entering aged care services
622,trauma-informed guidelines for assessing non-suicidal self-injury in crisis settings
746,Indigenous Maori spiritual framework for analyzing qualitative research data with healers
747,trends in American women heroin use and shift toward smoking versus injecting
748,social workers delivering behavioral health treatment within Medicare accountable care organizations
749,everyday carceral control experienced by Black boys and young men in cities
750,computer anxiety and technology acceptance shaping online learning interest of social work students
751,colonial legacies in Nepali social work and development and decolonial paths forward
752,willingness to seek mental health services among young adults in public housing immigrant generations
753,young people's participation practices in residential group care Germany and Switzerland comparison
754,older adults coping with loneliness and how living arrangements shape it
755,reparative housing policy to redress harms to Black residents Portland evaluation
756,researcher practitioner collaboration implementing evidence-based practices in rural mental health services
757,Indigenous youth digital storytelling art intervention for substance abuse and suicide prevention
758,hospital social workers attitudes and treatment recommendations for sex workers gatekeeping
761,ethics education and ethical competencies in Spanish social work degree programs
762,starting internet use reducing depression among older adults by economic status China
763,Bourdieu analysis of social work personalisation under the English Care Act reforms
764,workplace self-care framework for healthcare social workers as shared organizational responsibility
765,self-care and secondary traumatic stress among social work students in field placement
768,factors beyond maltreatment influencing child welfare referral at individual peer and school level Sweden
769,transmission of gender roles through parenting across socioeconomic levels qualitative study
770,pre-practicum lab preparing social work students for anti-racism diversity equity practice
771,care-experienced young people as peer researchers using ability motivation opportunity framework
772,designing an adolescent mental health awareness and stigma reduction program professional views India
773,community sheltering of unhoused residents and anti-carceral organizing Minneapolis grounded theory
774,critical report writing connecting social work theory ethics and practice Italy
775,voices and agency of children whose parents have mental illness or addiction qualitative synthesis
776,co-designed relational ethical decision-making framework with Aboriginal elders and youth cultural safety
777,social workers safety planning to reduce client firearm access action plan model
778,pandemic experiences of mothers caring for disabled children and ideology of motherhood
779,autoethnography of social work in supportive housing challenging charitable oppression Canada
780,anti-Asian racism campus belonging and social anxiety among Asian college students
782,phenomenological study of teenagers trash-talking behavior while playing online games
783,disaster preparedness knowledge cumulative stressors and depression in higher education community
784,community-based disaster relief and organizing in Puerto Rico decolonial approach
785,imposter syndrome among social work practitioners clinical considerations
786,clinically meaningful change indicators for individual client outcomes in family therapy
789,improving social work field education from intern supervisor perspectives Vietnam
790,minority fellowship doctoral scholar autoethnography navigating predominantly White institution
792,burnout and teleworking among social workers during the COVID pandemic Spain
793,bibliometric analysis of social work research publications on COVID-19
794,social work struggle for disciplinary independence from sociology in mainland China
795,history and formation of the council on social work education minority research fellowship program
796,emotional well-being of Hispanic immigrants trauma acculturative stress and coping styles
797,human-centered design intervention promoting community antiracism rural pilot study
798,marginalized youth perspectives on social exclusion and support Denmark labelling theory
799,medical interns knowledge and attitudes about social work in healthcare Turkey
801,structural discrimination and HIV outcomes among Black transgender people southern United States scoping review
802,experiences of older adults living with HIV enrolled in case management programs
803,Indigenous knowledge climate crisis and pandemic shaping the future of social work
806,gendered colonial analysis of strip searching incarcerated Black and Indigenous women Canada
807,professional identity formation among final-year social work students using photovoice
808,racial discrimination stress self-esteem and anxiety symptoms mental health primary care
809,digital skills in social work education as a human rights and digital divide issue
810,loneliness and self-rated health among older adults Czech Republic during early COVID outbreak
811,role of venue and physical space in family group conferencing child protection
812,legal advocacy improving self-sufficiency of intimate partner violence survivors Latino immigrants
813,caregiver perceptions of a home-based palliative social care program Spain
814,comparing use of formal kinship and network foster care Norway and Denmark
815,qualitative evaluation of equine assisted therapy and the human animal bond
816,eco-social work and spatial approaches in child and youth welfare climate crisis
817,pandemic stressors and parental stress family resilience sub-Saharan Africa ABC-X model
819,negative parenting smartphone dependence aggression and adolescent depression mediation Korea
820,self-initiated moves during the formal eviction process Swedish register data
821,health care providers experiences preventing mother-to-child HIV transmission rural Ghana
823,reframing running away from residential child care institutions sociology of escape
824,correlates of pre-exposure prophylaxis use among college students national sample
825,cognitive impairment and life satisfaction mediated by neighborhood satisfaction and social participation older adults
826,workplace friendships in child protection social work emotional support and wellbeing
828,literature review of burnout in social work during the COVID pandemic
829,house parents perceptions of their role in family-style group care for at-risk children
831,effect of yoga practice on depression anxiety and stress comparing practitioners and students
832,gender differences in mental health language about student loan debt on social media
834,belonging home and family in Finnish alternative care legislation discourse analysis
835,school exclusion gap for children with social care involvement national administrative data England
837,using videos and blended learning to teach communication helping skills in social work education
839,emotional experiences and occupational demands of child exploitation support workers
841,relationship between burnout and type A behavior pattern among Spanish social workers
842,implementing children's participation in child welfare practice benefits and challenges Ireland
843,mental health service preferences discrete choice experiment precision care Hong Kong
844,designing a Maori tribal organisation for child protection under New Zealand legislation
845,living experience and widening participation in higher education neoliberal critique
846,history of human rights education in Africa and its impact on social work education
847,how academic social workers relate direct practice skills to qualitative research techniques
848,trauma-informed relationship-based practice with girls in care and youth justice England
849,loneliness social isolation needs and interventions for older immigrants umbrella review
850,adverse childhood experiences wording in welfare assessments of youth in secure care Sweden
851,regional differences in job satisfaction of Chinese social workers mediated by professionalism
852,community leaders supervising informal child protection in rural Ghana
853,scoping review of social work with Roma and Traveller communities practice model
854,reflexive case study of collaborative social work practice research in China
855,quality of life inequality among indigenous and Afro-descendant older adults rural Chile
856,Irish women lived experiences of substance use and the social work system
858,Maori nurturing storytelling research methodology with women in substance use recovery
860,graduate reflections on an Indigenous knowledges based master of social work program
861,cognitive behavioral therapy for self-stigma in people living with HIV scoping review
862,impact of a guardianship social worker on hospital length of stay and costs for unrepresented patients
866,perceived health differences by marital status and alcohol use among veterans
867,group motivational interviewing for adolescents at risk of internet gaming disorder
868,does attachment predict resilience in preschool aged children Turkey
869,strategies to advance professional status and recognition of social work in Nepal
93806,predictors of adolescent suicidal behavior including body image and risky sexual behavior across ethnic groups
109796,how professional licensing standards entrench Western knowledge and constrain epistemic resistance in social work
57296,care coordination frequency and duration for children with special health needs by medical complexity
110034,critical collective self-care among practitioners working with gender and family violence
46293,building resilience and emotional wellbeing in social work students through education
73774,lived experience of long-term recovery and community reintegration in serious mental illness
41404,reforming child welfare from institutional care toward family and community-based placement
38559,using group work to promote client resilience and adversarial growth in practice curricula
29119,student and alumni perspectives on developing cultural competence in social work education
33860,psychosocial adjustment of children newly diagnosed with cancer across different informants
79814,improving parent and community engagement in pediatric health research in an urban slum
28455,ethnic identity versus ethnicity as predictors of substance use among middle school youth
93775,rethinking truancy beyond skipping school punitive versus rehabilitative approaches to attendance
23084,role of research in shaping child welfare policy and broadening family support
76857,whether child welfare assessment matches services provided to families concrete versus clinical fit
23532,single-subject design measuring PTSD treatment outcomes for a war-affected child
17611,physician and nurse views on integrating social workers into primary care for older adults
96602,displaced women's indigenous gender-specific knowledge about ethnic conflict for peacebuilding education
121925,value of the long-term casework relationship in psychiatric rehabilitation beyond measurable outcomes
60987,intimate partner violence revictimization and help-seeking among sexual minority college students
103918,feminist critical action theory for women social work managers in patriarchal organizations
51120,addressing patient sexuality in hospice and palliative care social work
29072,spiritual mechanisms driving behavior change in faith-based substance abuse treatment
124523,harms of coercion and confronting denial when treating incarcerated juveniles who sexually offended
99965,changing practices in family foster care for abandoned children over time
35314,what sibling relationships mean to children currently separated in foster care
99550,diaspora members pursuing justice and reconciliation after genocide amid political silence
35407,comparing statutory and voluntary sector social work with asylum seekers
48933,whether social work education changes undergraduate attitudes toward poverty and impoverished people
65903,strengths-based local area coordination supporting people with learning disabilities
50190,general and spiritual coping strategies among women living with HIV/AIDS
46449,narratives of male partners caregiving for gay men with chronic illness
20197,comparing interviewing skill acquisition in online versus classroom social work courses
29339,designing a human behavior in the social environment course curriculum
85759,theoretical predictors of sexual behavior among rural adolescents living in poverty
34397,comparing lifetime earnings of social workers with other professional groups
85165,supportiveness of computer-mediated compared with face-to-face conversations
64431,using autoethnography to challenge positivism and hegemony in social work doctoral education
86796,critical appraisal of risk assessment in child protection practice
43780,belonging and relationships of young people in long-term foster placements
68803,social media use and student engagement in the implicit social work curriculum
33117,field school and agency collaboration under health care cost-cutting pressures
34085,reviewing coping frameworks and measures used with family dementia caregivers
55458,meaningful participation and voice of young people receiving child welfare services
84796,empowering frontline staff to transform human service organizations
89189,programs offered by urban school-based health centers and student attendance outcomes
114770,challenges of inclusive education for children with intellectual disability and social work roles
20386,psychosocial influences on dialysis treatment adherence among Latina women
48253,incorporating Islamic spirituality into social work practice with Muslim clients
81449,trauma-focused group intervention for incarcerated girls with childhood abuse histories
36535,how out-of-home placement type relates to later justice system involvement among youth
84735,indigenizing community development training through constructivist and empowerment learning
86596,social sustainability policy for poverty reduction from a social work perspective
93896,children's assent and fluctuating engagement during research participation ethics
31940,psychoanalytic exploration of bulimia nervosa and the drive-conflict model
44103,epistemological foundations reviewed across published qualitative social work research
936,cultural discourse of successful aging among Indigenous rural elders
110557,family cohesion protecting children of divorced single parents from depression
72504,formal and informal support for young mothers transitioning out of maternity group homes
73316,constructing community and social inclusion through sport-based intervention for at-risk youth
63745,telephone distress screening for cancer patients without portal access during the pandemic
85034,evaluating student outcomes in distance versus in-person social work education
41433,Foucauldian analysis of domestic abuse discourse in child safeguarding and public health policy
46413,how elder care services can generate rather than deplete social capital
63075,expert Delphi consensus on strengthening the social service workforce and working conditions
50720,comparing job stress of correctional and police officers in domestic violence training
41360,improving recordkeeping and archives for people who grew up in out-of-home care
19908,students' knowledge and misconceptions about HIV/AIDS and the role of life skills
101380,poverty and sustainable development challenges among ethnic minority groups
34294,practitioner adoption of single-system design for evaluating clinical practice
106626,teaching the strengths perspective to introduce empowerment to undergraduate students
126728,crisis intervention as a strategy for people living with HIV facing marginalization
21677,impact of expanding social work education programs on graduate salaries and labor market
77365,gender differences in older adults' use of durable powers of attorney for health decisions
20366,social work students' attitudes toward using religion and spirituality in practice
116011,engaging non-custodial Black fathers through critical policy analysis and ecological systems theory
93874,risk and protective factors for substance use among rural African American adolescents
37131,infusing integrated behavioral health into MSW curriculum and interprofessional education
21286,sources of emotional and instrumental social support among Arab university students
50979,taxonomic analysis of uneven rural development across districts
60618,peer relationships moderating discrimination intensity and coping among vulnerable adolescents
119522,racial differences in congregation-based social service delivery using cultural toolkit theory
107671,faith-based social work response to immigrants and the sojourner reply to commentary
63472,relationship experiences of terminally ill parents and adult children at end of life
19777,cross-cultural understanding of clients' affect in clinical practice using anthropology
82860,comparing pregroup preparation formats to reduce dropout among men who batter
27864,co-occurring substance use and personality disorders etiology diagnosis and treatment review
59919,families' cumulative disempowerment during older adults' transitions into long-term residential care
116159,resources activated in individualized education plans for youth in residential care
116334,social intervention and the epistemological construction of citizenship
77377,self psychology perspective on spouses caring for a partner with dementia
76199,parental monitoring moderating cyberbullying victimization and suicidal thoughts by gender in college students
58773,advancing antiracism and dismantling white supremacy within the social work profession
70300,adult children's experiences of loss and estrangement from their parents
50198,effectiveness of social work emergency certificates in linking clients to crisis services
99638,international service-learning trips for developing cross-cultural competence in students
